year,month,temp,sd,nbr
1902,11,3.7,3.8810562998360227,90
1902,12,1.6,3.201616147518973,93
1903,01,1.2,3.329586018937415,93
1903,02,3.2,2.1456713687072306,84
1903,03,4,2.2789947793492362,93
1903,04,4.8,1.8914450281812871,90
1903,05,10.2,2.9564906290473325,93
1903,06,15.5,2.376526121147079,90
1903,07,17.2,1.8940490205851634,93
1903,08,15,1.3936374488881358,93
1903,09,13,2.3077257208119164,90
1903,10,9.4,2.494488079895084,93
1903,11,5.45,3.429898103260731,90
1903,12,1.8,1.4753158313541,93
1904,01,1.4,1.6302697126973753,93
1904,02,0.8,2.2061031720116833,87
1904,03,2,2.357015331223421,93
1904,04,6.1,1.9909859288274776,90
1904,05,9.6,2.2565876757371783,93
1904,06,15,1.952655926818477,90
1904,07,17,2.399661032631224,93
1904,08,16,2.549463454997619,93
1904,09,14,2.507964840353516,90
1904,10,9.8,2.4103306375145275,93
1904,11,6.1,2.467649616884529,90
1904,12,4.8,3.5020474209214276,93
1905,01,1.2,2.996140965068557,93
1905,02,2,1.8028838376213807,84
1905,03,3.4,1.7754448178063065,93
1905,04,4.2,2.0094893482422655,90
1905,05,11,3.1428432617799986,93
1905,06,17,2.5000813969270927,90
1905,07,18,1.7392816086703726,93
1905,08,17,2.102256184654633,93
1905,09,14,2.223674962101847,90
1905,10,7.2,2.7317908337609396,93
1905,11,4.5,2.993187437532896,90
1905,12,3.6,2.897534861722083,93
1906,01,3,2.2704800101279985,93
1906,02,1.4,1.325115957428291,84
1906,03,2,2.3403512640778277,93
1906,04,7.2,2.5770222535672396,90
1906,05,12.4,2.7966975281657867,93
1906,06,16,2.694697248008942,90
1906,07,17.4,2.43896030087179,93
1906,08,16.4,2.123632029502155,93
1906,09,13.9,2.8780576748955133,90
1906,10,10.8,2.446077662846955,93
1906,11,8.2,1.6299108069007748,90
1906,12,0.2,3.5989239210400537,93
1907,01,1,3.5525965193060562,93
1907,02,-0.2,2.3883355263332207,84
1907,03,1.8,2.144293992773083,93
1907,04,4.4,1.8357403334309754,90
1907,05,9.2,2.8363169396492327,93
1907,06,12.8,2.5089216588282164,90
1907,07,15,1.9607908595166155,93
1907,08,14.5,1.7056317079433223,93
1907,09,13,1.7513928824550211,90
1907,10,13,1.7781424454567005,93
1907,11,5.8,2.241687655666605,90
1907,12,3,3.312387321996175,93
1908,01,1.2,2.9628343012686678,93
1908,02,2.1,1.8958279980128314,84
1908,03,1.4,2.354178245740161,93
1908,04,4.2,2.124678429072572,90
1908,05,9.2,2.769417401597857,93
1908,06,14.55,2.6541195925364107,90
1908,07,18.4,2.84889970804819,93
1908,08,16,2.066511515990729,93
1908,09,13,1.4529495593352628,90
1908,10,9.9,3.6494941915472956,93
1908,11,3.9,2.0793524513004256,90
1908,12,2.4,4.371065719166394,93
1909,01,0.4,1.9861070762607618,93
1909,02,-2,2.4661945594940913,84
1909,03,-0.5,2.6682701759099103,93
1909,04,3.7,2.572131445859936,90
1909,05,7.6,2.516147477785687,93
1909,06,13.3,2.322348675540888,90
1909,07,15,1.807065634809275,93
1909,08,15.3,1.6201959952776097,93
1909,09,13,1.766037270402139,90
1909,10,13,2.017998142476549,93
1909,11,3.45,3.3564598495435636,90
1909,12,3.2,1.9183021458974214,93
1910,01,2.8,2.452822743481414,93
1910,02,2,1.471185763321819,84
1910,03,3.9,1.820269876060245,93
1910,04,6.45,1.9840323886849256,90
1910,05,12,3.929872943973345,93
1910,06,16.35,2.6533951115462484,90
1910,07,17.2,2.0256997705835653,93
1910,08,17,1.7239017684174684,93
1910,09,14.6,2.1496186114707703,90
1910,10,11,3.1249901355618035,93
1910,11,4.15,2.571732682213306,90
1910,12,4,2.0335722466343404,93
1911,01,2.2,2.2932783868734288,93
